#      date    value 
 2006-01-16 3.25703e-05 
 2006-02-15 3.28394e-05 
 2006-03-16 3.19872e-05 
 2006-04-16 3.16822e-05 
 2006-05-16 3.26754e-05 
 2006-06-16 3.32194e-05 
 2006-07-16 3.31135e-05 
 2006-08-16 3.26829e-05 
 2006-09-16 3.21189e-05 
 2006-10-16 3.09873e-05 
 2006-11-16 3.16195e-05 
 2006-12-16 3.22584e-05 
 2007-01-16 3.2603e-05 
 2007-02-15 3.2026e-05 
 2007-03-16 3.14648e-05 
 2007-04-16 3.15255e-05 
 2007-05-16 3.22313e-05 
 2007-06-16 3.23222e-05 
 2007-07-16 3.24458e-05 
 2007-08-16 3.27433e-05 
 2007-09-16 3.21211e-05 
 2007-10-16 3.14607e-05 
 2007-11-16 3.23591e-05 
 2007-12-16 3.2122e-05 
 2008-01-16 3.2811e-05 
 2008-02-15 3.22739e-05 
 2008-03-16 3.19012e-05 
 2008-04-16 3.17767e-05 
 2008-05-16 3.17177e-05 
 2008-06-16 3.22212e-05 
 2008-07-16 3.30471e-05 
 2008-08-16 3.23328e-05 
 2008-09-16 3.16245e-05 
 2008-10-16 3.13141e-05 
 2008-11-16 3.11545e-05 
 2008-12-16 3.19184e-05 
 2009-01-16 3.21713e-05 
 2009-02-15 3.17978e-05 
 2009-03-16 3.14332e-05 
 2009-04-16 3.12635e-05 
 2009-05-16 3.22753e-05 
 2009-06-16 3.25588e-05 
 2009-07-16 3.29018e-05 
 2009-08-16 3.28454e-05 
 2009-09-16 3.18611e-05 
 2009-10-16 3.10213e-05 
 2009-11-16 3.17796e-05 
 2009-12-16 3.20715e-05 
 2010-01-16 3.25427e-05 
 2010-02-15 3.18087e-05 
 2010-03-16 3.18804e-05 
 2010-04-16 3.13227e-05 
 2010-05-16 3.21166e-05 
 2010-06-16 3.28486e-05 
 2010-07-16 3.30042e-05 
 2010-08-16 3.27814e-05 
 2010-09-16 3.19022e-05 
 2010-10-16 3.13777e-05 
 2010-11-16 3.17271e-05 
 2010-12-16 3.19333e-05 
 2011-01-16 3.21296e-05 
 2011-02-15 3.21422e-05 
 2011-03-16 3.18261e-05 
 2011-04-16 3.22238e-05 
 2011-05-16 3.23029e-05 
 2011-06-16 3.32813e-05 
 2011-07-16 3.29609e-05 
 2011-08-16 3.29076e-05 
 2011-09-16 3.1579e-05 
 2011-10-16 3.12885e-05 
 2011-11-16 3.22185e-05 
 2011-12-16 3.23061e-05 
 2012-01-16 3.23795e-05 
 2012-02-15 3.17746e-05 
 2012-03-16 3.2369e-05 
 2012-04-16 3.19643e-05 
 2012-05-16 3.2459e-05 
 2012-06-16 3.28179e-05 
 2012-07-16 3.3075e-05 
 2012-08-16 3.25611e-05 
 2012-09-16 3.1731e-05 
 2012-10-16 3.14225e-05 
 2012-11-16 3.21152e-05 
 2012-12-16 3.23591e-05 
 2013-01-16 3.2426e-05 
 2013-02-15 3.21168e-05 
 2013-03-16 3.16321e-05 
 2013-04-16 3.1494e-05 
 2013-05-16 3.19778e-05 
 2013-06-16 3.2626e-05 
 2013-07-16 3.29246e-05 
 2013-08-16 3.24869e-05 
 2013-09-16 3.17409e-05 
 2013-10-16 3.14574e-05 
 2013-11-16 3.16628e-05 
 2013-12-16 3.18174e-05 
 2014-01-16 3.20886e-05 
 2014-02-15 3.1961e-05 
 2014-03-16 3.17582e-05 
 2014-04-16 3.17169e-05 
 2014-05-16 3.19051e-05 
 2014-06-16 3.26733e-05 
 2014-07-16 3.31827e-05 
 2014-08-16 3.26435e-05 
 2014-09-16 3.19617e-05 
 2014-10-16 3.14809e-05 
 2014-11-16 3.14574e-05 
 2014-12-16 3.19151e-05 
 2015-01-16 3.21014e-05 
 2015-02-15 3.25923e-05 
 2015-03-16 3.19606e-05 
 2015-04-16 3.17955e-05 
 2015-05-16 3.25802e-05 
 2015-06-16 3.26438e-05 
 2015-07-16 3.2922e-05 
 2015-08-16 3.23609e-05 
 2015-09-16 3.18961e-05 
 2015-10-16 3.07795e-05 
 2015-11-16 3.15061e-05 
 2015-12-16 3.22389e-05 
 2016-01-16 3.25187e-05 
 2016-02-15 3.24792e-05 
 2016-03-16 3.19505e-05 
 2016-04-16 3.22152e-05 
 2016-05-16 3.20237e-05 
 2016-06-16 3.34137e-05 
 2016-07-16 3.35108e-05 
 2016-08-16 3.27063e-05 
 2016-09-16 3.19148e-05 
 2016-10-16 3.09933e-05 
 2016-11-16 3.17313e-05 
 2016-12-16 3.23552e-05 
 2017-01-16 3.23652e-05 
 2017-02-15 3.23718e-05 
 2017-03-16 3.186e-05 
 2017-04-16 3.18062e-05 
 2017-05-16 3.18971e-05 
 2017-06-16 3.27464e-05 
 2017-07-16 3.27919e-05 
 2017-08-16 3.25947e-05 
 2017-09-16 3.20178e-05 
 2017-10-16 3.09764e-05 
 2017-11-16 3.15594e-05 
 2017-12-16 3.24874e-05 
 2018-01-16 3.2807e-05 
 2018-02-15 3.21387e-05 
 2018-03-16 3.19704e-05 
 2018-04-16 3.17809e-05 
 2018-05-16 3.18477e-05 
 2018-06-16 3.23977e-05 
